"","Name","Diameter","Radius","Eccentricity","Nodes","Betweenness","Hopcount","Closeness","Farness","Links","Cluster"
"1","Agis","7","4","5.28",25,"0.094782608695652","3.18","0.24287892359003","4.18","30","4"
"2","Arn","4","2","3.5714285714286",28,"0.068376068376068","2.77777777777778","0.26807156343235","3.77777777777778","27","4"
"3","Arnes","7","4","5.5882352941176",34,"0.076147504456328","3.4367201426025","0.23011452069133","4.4367201426025","46","3"
"4","AttMPls","5","3","3.92",25,"0.060144927536232","2.38333333333333","0.29954001447382","3.38333333333333","56","2"
"5","Arpanet19723","10","6","8.2",25,"0.14869565217391","4.42","0.18819005703409","5.42","29","2"
"6","Arpanet19728","9","7","7.6896551724138",29,"0.12926473271301","4.49014778325123","0.18299072817945","5.49014778325123","34","4"
"7","Bbnplanet","7","4","5.4444444444444",27,"0.099373219373219","3.48433048433048","0.22650864297069","4.48433048433048","28","4"
"8","BeyondTheNetwork","6","4","5.3103448275862",29,"0.085020981572706","3.29556650246305","0.23540293249992","4.29556650246305","41","4"
"9","Bics","8","4","6.4545454545455",33,"0.084066471163245","3.60606060606061","0.22212479558716","4.60606060606061","48","3"
"10","Biznet","15","8","11.142857142857",28,"0.16880341880342","5.38888888888889","0.16043955221243","6.38888888888889","32","1"
"11","Bren","5","4","4.7407407407407",27,"0.065868945868946","2.64672364672365","0.28136913749668","3.64672364672365","107","3"
"12","BtNorthAmerica","6","3","4.5151515151515",33,"0.054374389051808","2.68560606060606","0.27545875656842","3.68560606060606","70","3"
"13","Cernet","5","3","4.3513513513514",37,"0.055898755898756","2.95645645645646","0.2562690060317","3.95645645645646","55","3"
"14","Cesnet200304","6","3","4.7692307692308",26,"0.083589743589744","3.00615384615385","0.25458581138633","4.00615384615385","30","4"
"15","Cesnet200603","7","4","5.3235294117647",34,"0.068627450980392","3.19607843137255","0.24323686493441","4.19607843137255","39","3"
"16","Cesnet200511","7","4","5.3235294117647",34,"0.068627450980392","3.19607843137255","0.24323686493441","4.19607843137255","39","3"
"17","Cesnet200706","6","3","4.8684210526316",38,"0.054212106843686","2.95163584637269","0.25800326566493","3.95163584637269","45","3"
"18","Chinanet","4","2","3.4473684210526",38,"0.04113323850166","2.48079658605974","0.29155440005906","3.48079658605974","62","3"
"19","CrlNetworkServices","10","6","8.2727272727273",33,"0.11925708699902","4.6969696969697","0.17849747931028","5.6969696969697","38","2"
"20","Darkstrand","11","6","8.8214285714286",28,"0.14855514855515","4.86243386243386","0.17293824423426","5.86243386243386","31","2"
"21","Digex","10","6","8.1612903225806",31,"0.12969966629588","4.76129032258065","0.17576301728043","5.76129032258065","35","2"
"22","Evolink","9","6","7.125",32,"0.092002688172043","3.76008064516129","0.21571285621504","4.76008064516129","37","2"
"23","Geant2001","6","3","4.7037037037037",27,"0.077492877492877","2.93732193732194","0.25861224313418","3.93732193732194","38","4"
"24","Geant2009","7","4","5.6764705882353",34,"0.072359625668449","3.31550802139037","0.23640891801458","4.31550802139037","52","3"
"25","Geant2010","7","4","5.7297297297297",37,"0.07039897039897","3.46396396396396","0.22829057762827","4.46396396396396","56","3"
"26","Geant2012","7","4","5.7027027027027",37,"0.068640068640069","3.4024024024024","0.23155808995736","4.4024024024024","58","3"
"27","Grnet","8","4","5.9705882352941",34,"0.078208556149733","3.50267379679144","0.2276985133641","4.50267379679144","39","3"
"28","GtsCzechRepublic","17","9","12.807692307692",26,"0.22166666666667","6.32","0.1419909367661","7.32","25","1"
"29","GtsPoland","12","6","8.5769230769231",26,"0.1425641025641","4.42153846153846","0.18984223613759","5.42153846153846","28","2"
"30","GtsSlovakia","6","3","4.6071428571429",28,"0.07041107041107","2.83068783068783","0.26439574651925","3.83068783068783","30","4"
"31","Iij","4","2","3.5714285714286",28,"0.04965404965405","2.29100529100529","0.30858373042285","3.29100529100529","56","4"
"32","Integra","7","5","5.5925925925926",27,"0.091965811965812","3.2991452991453","0.23498287361577","4.2991452991453","36","4"
"33","Janetbackbone","5","3","4.2857142857143",28,"0.062779812779813","2.63227513227513","0.27847530475837","3.63227513227513","47","4"
"34","KentmanJan2011","6","3","4.9642857142857",28,"0.087098087098087","3.26455026455026","0.23853380353908","4.26455026455026","28","4"
